two_theta_deg,intensity_counts
6.5199432999999996,755
6.5226599099999998,814
6.52537652,739
6.5280931299999994,754
6.5308097399999996,801
6.5335263499999998,725
6.5362429599999992,790
6.5389595699999994,753
6.5416761799999996,794
6.5443927899999998,697
6.5471094000000001,755
6.5498260099999994,856
6.5525426199999997,744
6.5552592299999999,739
6.5579758399999992,813
6.5606924499999995,813
6.5634090599999997,772
6.5661256699999999,814
6.5688422800000001,797
6.5715588899999995,707
6.5742754999999997,798
6.5769921099999991,770
6.5797087199999993,816
6.5824253299999995,743
6.5851419399999997,815
6.58785855,765
6.5905751599999993,799
6.5932917699999996,823
6.5960083799999998,813
6.5987249899999991,768
6.6014415999999994,775
6.6041582099999996,809
6.6068748199999998,768
6.60959143,735
6.6123080399999994,799
6.6150246499999996,814
6.6177412599999998,768
6.6204578699999992,798
6.6231744799999994,776
6.6258910899999997,789
6.6286076999999999,747
6.6313243100000001,793
6.6340409199999995,798
6.6367575299999997,776
6.6394741399999999,794
6.6421907499999993,777
6.6449073599999995,781
6.6476239699999997,812
6.6503405799999999,811
6.6530571899999993,800
6.6557737999999995,826
6.6584904099999997,755
6.6612070199999991,777
6.6639236299999993,827
6.6666402399999996,801
6.6693568499999998,723
6.67207346,758
6.6747900699999994,816
6.6775066799999996,817
6.6802232899999998,838
6.6829398999999992,775
6.6856565099999994,807
6.6883731199999996,777
6.6910897299999998,728
6.6938063400000001,734
6.6965229499999994,765
6.6992395599999996,804
6.7019561699999999,770
6.7046727799999992,831
6.7073893899999995,759
6.7101059999999997,760
6.7128226099999999,761
6.7155392200000001,723
6.7182558299999995,798
6.7209724399999997,728
6.7236890499999991,817
6.7264056599999993,791
6.7291222699999995,812
6.7318388799999997,751
6.73455549,737
6.7372720999999993,737
6.7399887099999995,758
6.7427053199999998,757
6.7454219299999991,823
6.7481385399999994,739
6.7508551499999996,772
6.7535717599999998,769
6.75628837,752
6.7590049799999994,792
6.7617215899999996,813
6.7644381999999998,801
6.7671548099999992,826
6.7698714199999994,779
6.7725880299999996,784
6.7753046399999999,799
6.7780212500000001,796
6.7807378599999995,749
6.7834544699999997,809
6.7861710799999999,751
6.7888876899999993,758
6.7916042999999995,723
6.7943209099999997,824
6.7970375199999999,736
6.7997541299999993,851
6.8024707399999995,776
6.8051873499999997,804
6.8079039599999991,765
6.8106205699999993,797
6.8133371799999995,739
6.8160537899999998,815
6.8187704,779
6.8214870099999994,796
6.8242036199999996,742
6.8269202299999998,743
6.8296368399999992,737
6.8323534499999994,822
6.8350700599999996,707
6.8377866699999998,790
6.8405032800000001,783
6.8432198899999994,760
6.8459364999999996,770
6.8486531099999999,738
6.8513697199999992,728
6.8540863299999994,730
6.8568029399999997,808
6.8595195499999999,829
6.8622361600000001,743
6.8649527699999995,790
6.8676693799999997,779
6.8703859899999991,800
6.8731025999999993,760
6.8758192099999995,761
6.8785358199999997,763
6.88125243,802
6.8839690399999993,743
6.8866856499999995,744
6.8894022599999998,732
6.8921188699999991,789
6.8948354799999994,779
6.8975520899999996,785
6.9002686999999998,782
6.90298531,820
6.9057019199999994,790
6.9084185299999996,767
6.9111351399999998,769
6.9138517499999992,774
6.9165683599999994,776
6.9192849699999996,762
6.9220015799999999,840
6.9247181900000001,796
6.9274347999999994,768
6.9301514099999997,818
6.9328680199999999,783
6.9355846299999993,757
6.9383012399999995,783
6.9410178499999997,840
6.9437344599999999,760
6.9464510699999993,820
6.9491676799999995,780
6.9518842899999997,767
6.9546008999999991,783
6.9573175099999993,782
6.9600341199999995,807
6.9627507299999998,775
6.96546734,774
6.9681839499999993,775
6.9709005599999996,805
6.9736171699999998,740
6.9763337799999992,798
6.9790503899999994,800
6.9817669999999996,842
6.9844836099999998,701
6.9872002200000001,825
6.9899168299999994,775
6.9926334399999996,731
6.9953500499999999,746
6.9980666599999992,812
7.0007832699999994,761
7.0034998799999997,765
7.0062164899999999,751
7.0089331000000001,755
7.0116497099999995,742
7.0143663199999997,793
7.0170829299999991,759
7.0197995399999993,814
7.0225161499999995,739
7.0252327599999997,747
7.02794937,775
7.0306659800000002,725
7.0333825899999995,794
7.0360991999999998,768
7.0388158099999991,700
7.0415324199999993,788
7.0442490299999996,760
7.0469656399999998,750
7.04968225,808
7.0523988599999994,800
7.0551154699999996,811
7.057832079999999,760
7.0605486899999992,787
7.0632652999999994,803
7.0659819099999996,701
7.0686985199999999,809
7.0714151300000001,737
7.0741317399999994,742
7.0768483499999997,727
7.079564959999999,766
7.0822815699999992,836
7.0849981799999995,756
7.0877147899999997,724
7.0904313999999999,850
7.0931480100000002,756
7.0958646199999995,787
7.0985812299999997,802
7.1012978399999991,806
